"CU_NUMBER","CycleDate","JoinNumber","CU_NAME","TradeNamesId","TradeName"
4142,6/30/2019 0:00:00,1849,"KINECTA",693,"KInecta Credit Union"
4142,6/30/2019 0:00:00,1849,"KINECTA",694,"banking done different"
4170,6/30/2019 0:00:00,1860,"ABYSSINIAN BAPTIST CHURCH",618,"NA"
4240,6/30/2019 0:00:00,1886,"CHOICE ONE COMMUNITY",449,"Choice One CU"
4281,6/30/2019 0:00:00,1900,"ATLANTIC REGIONAL",505,"Atlantic Federal Credit Union"
4524,6/30/2019 0:00:00,1987,"SOMERVILLE MUNICIPAL",379,"Somerville's Credit Union"
4584,6/30/2019 0:00:00,2013,"AUSTIN TELCO",613,"Austin Telco Retirement & Invest"
4792,6/30/2019 0:00:00,2083,"NET",494,"NET Credit Union"
5029,6/30/2019 0:00:00,2166,"RED RIVER EMPLOYEES",61,"Red River Credit Union"
5380,6/30/2019 0:00:00,2313,"N R L",571,"NRL Federal Credit Union"
5497,6/30/2019 0:00:00,2378,"TEXAS",296,"TFCU"
5497,6/30/2019 0:00:00,2378,"TEXAS",297,"Texas Federal Credit Union"
5547,6/30/2019 0:00:00,2407,"SECURITY FIRST",616,"Security First Credit Union"
5571,6/30/2019 0:00:00,2422,"SIGNAL FINANCIAL",540,"SF Investment and Retirement Svc"
5571,6/30/2019 0:00:00,2422,"SIGNAL FINANCIAL",543,"Signal Financial FCU"
5582,6/30/2019 0:00:00,2426,"BANK FUND STAFF",375,"BFSFCU"
5588,6/30/2019 0:00:00,2427,"UNITED NATIONS",287,"UNFCU"
5621,6/30/2019 0:00:00,2444,"AMERICAN HERITAGE",567,"American Heritage Credit Union"
6160,6/30/2019 0:00:00,2737,"SUN EAST",47,"Sun East Retirement and Investme"
6160,6/30/2019 0:00:00,2737,"SUN EAST",48,"Sun East Federal Credit Union"
6160,6/30/2019 0:00:00,2737,"SUN EAST",49,"Sun East"
6187,6/30/2019 0:00:00,2752,"THE ONE",524,"The ONE Federal Credit Union"
6339,6/30/2019 0:00:00,2837,"BATON ROUGE CITY PARISH EMP",151,"Baton Rouge City Parish EFCU"
6636,6/30/2019 0:00:00,2981,"CAREY POVERELLO",522,"Poverello Federal Credit Union"
6690,6/30/2019 0:00:00,3014,"TRI-VALLEY SERVICE",380,"TVS FCU"
7091,6/30/2019 0:00:00,3228,"METRO CU",356,"Metro Credit Union"
7238,6/30/2019 0:00:00,3306,"PHILADELPHIA",207,"Philadelphia FCU"
7238,6/30/2019 0:00:00,3306,"PHILADELPHIA",208,"PFCU"
7345,6/30/2019 0:00:00,3367,"CARIBE",129,"Servicio con Calor Humano"
7345,6/30/2019 0:00:00,3367,"CARIBE",130,"I Save"
7345,6/30/2019 0:00:00,3367,"CARIBE",131,"CFCU"
7345,6/30/2019 0:00:00,3367,"CARIBE",132,"Carikid"
7345,6/30/2019 0:00:00,3367,"CARIBE",133,"Caribe Online"
7345,6/30/2019 0:00:00,3367,"CARIBE",134,"Caribe Mobile"
7345,6/30/2019 0:00:00,3367,"CARIBE",135,"Caribe Federal"
7393,6/30/2019 0:00:00,3396,"COLUMBUS METRO",489,"MetroWeb"
7393,6/30/2019 0:00:00,3396,"COLUMBUS METRO",676,"Metro Line"
7531,6/30/2019 0:00:00,3462,"HUGHES",125,"Hughes Federal Credit Union"
7531,6/30/2019 0:00:00,3462,"HUGHES",126,"Hughes FCU"
7531,6/30/2019 0:00:00,3462,"HUGHES",127,"HFCU Financial Services"
8111,6/30/2019 0:00:00,3795,"RANDOLPH-BROOKS",315,"RBFCU"
8187,6/30/2019 0:00:00,3832,"AMERICAN UNITED",382,"American United FCU"
8187,6/30/2019 0:00:00,3832,"AMERICAN UNITED",383,"American United Credit Union"
8323,6/30/2019 0:00:00,3895,"MARSHLAND COMMUNITY",468,"Marshland Credit Union"
8384,6/30/2019 0:00:00,3924,"CATHOLIC VANTAGE FINANCIAL",307,"Catholic Vantage Financial"
8475,6/30/2019 0:00:00,3974,"OTERO",142,"Otero FCU"
8475,6/30/2019 0:00:00,3974,"OTERO",143,"OFCU"
8609,6/30/2019 0:00:00,4041,"NEW CASTLE COUNTY SCHOOL EMP",646,"edU Federal Credit Union"
8667,6/30/2019 0:00:00,4073,"CP",72,"CPFCU"
8667,6/30/2019 0:00:00,4073,"CP",73,"CP Federal Credit Union"
8667,6/30/2019 0:00:00,4073,"CP",74,"CP Federal"
8680,6/30/2019 0:00:00,4080,"MARRIOTT EMPLOYEES",516,"MEFCU"
8715,6/30/2019 0:00:00,4102,"1ST COMMUNITY",371,"1st Community Credit Union"
8725,6/30/2019 0:00:00,4107,"COLORAMO",359,"Coloramo Federal Credit Union"
8797,6/30/2019 0:00:00,4131,"WRIGHT PATMAN CONGRESSIONAL",293,"CONGRESSIONAL FEDERAL"
8797,6/30/2019 0:00:00,4131,"WRIGHT PATMAN CONGRESSIONAL",294,"CONGRESSIONAL FCU"
9075,6/30/2019 0:00:00,4278,"HOBOKEN N J POLICE",603,"HOBOKEN NJ POLICE FCU"
9230,6/30/2019 0:00:00,4366,"CERTIFIED",331,"Vons Credit Union"
9230,6/30/2019 0:00:00,4366,"CERTIFIED",424,"Certified Federal"
9230,6/30/2019 0:00:00,4366,"CERTIFIED",699,"MWD FCU"
9292,6/30/2019 0:00:00,4404,"CONSOLIDATED",30,"Consolidated Community Credit Un"
9622,6/30/2019 0:00:00,4610,"FORGE",614,"Forge Credit Union"
10375,6/30/2019 0:00:00,5047,"1ST LIBERTY",238,"1st Liberty Federal Credit Union"
10465,6/30/2019 0:00:00,5101,"UNIVERSITY OF HAWAII",54,"UHFCU Investment Services"
10803,6/30/2019 0:00:00,5285,"ISRAEL MEMORIAL A M E",647,"Israel Memorial AME FCU"
10880,6/30/2019 0:00:00,5324,"PINELLAS",231,"PFCU"
10898,6/30/2019 0:00:00,5333,"MIDCOAST",408,"Midcoast Federal Credit Union"
10898,6/30/2019 0:00:00,5333,"MIDCOAST",409,"Midcoast FCU"
10958,6/30/2019 0:00:00,5364,"FIRST EAGLE",196,"First Eagle FCU"
11157,6/30/2019 0:00:00,5470,"UTICA DISTRICT TELEPHONE EMPLOYEES",101,"UTELFCU"
11316,6/30/2019 0:00:00,5562,"SANDIA AREA",124,"Sandia Area"
11364,6/30/2019 0:00:00,5593,"THE FAMILY FIRST",642,"Family First FCU"
11944,6/30/2019 0:00:00,5923,"KAIPERM",685,"Kaiperm credit union"
12029,6/30/2019 0:00:00,5974,"UNITED CATHOLICS",167,"UCFCU"
12067,6/30/2019 0:00:00,5997,"BAY",136,"Bay Federal Credit Union"
12084,6/30/2019 0:00:00,6007,"MID OREGON",214,"Mid Oregon Credit Union"
12153,6/30/2019 0:00:00,6046,"AFENA",504,"Afena FCU"
12199,6/30/2019 0:00:00,6071,"KIRTLAND",153,"Your Wingman"
12219,6/30/2019 0:00:00,6082,"USSCO JOHNSTOWN",696,"USSCO FCU"
12334,6/30/2019 0:00:00,6157,"NESC",612,"NESC Credit Union"
12425,6/30/2019 0:00:00,6204,"FOOTHILL",695,"Foothill Credit Union"
12456,6/30/2019 0:00:00,6224,"PARTNERS FINANCIAL",601,"Partners Financial FCU"
12805,6/30/2019 0:00:00,6421,"MOCSE",309,"Mocse Credit Union"
12858,6/30/2019 0:00:00,6459,"TEXAS TECH",634,"Texas Tech Credit Union"
13495,6/30/2019 0:00:00,6821,"COUNTY SCHOOLS",352,"County Schools FCU"
13772,6/30/2019 0:00:00,7012,"VIRGINIA BEACH SCHOOLS",578,"Lions Credit Union"
13828,6/30/2019 0:00:00,7051,"ALLSOUTH",77,"AllSouth"
13898,6/30/2019 0:00:00,7094,"ENDURANCE",476,"EFCU"
13940,6/30/2019 0:00:00,7123,"BUSINESS AND INDUSTRIAL",513,"dba   B & I Federal Credit Union"
14369,6/30/2019 0:00:00,7380,"AURORA SCHOOLS",18,"Aurora Schools Federal Credit Un"
14369,6/30/2019 0:00:00,7380,"AURORA SCHOOLS",19,"Aurora Schools Credit Union"
14369,6/30/2019 0:00:00,7380,"AURORA SCHOOLS",20,"ASFCU"
14384,6/30/2019 0:00:00,7387,"MISSION",103,"MissionFed.com"
14384,6/30/2019 0:00:00,7387,"MISSION",104,"Mission Federal"
14384,6/30/2019 0:00:00,7387,"MISSION",105,"Mission Fed"
14384,6/30/2019 0:00:00,7387,"MISSION",709,"Mission Fed Credit Union"
14850,6/30/2019 0:00:00,7676,"PLYMOUTH COUNTY TEACHERS",255,"PCT Federal Credit Union"
14874,6/30/2019 0:00:00,7687,"SERVICES CENTER",351,"Services Center Federal Credit U"
15335,6/30/2019 0:00:00,7945,"CHABOT",141,"Chabot FCU"
