cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,igltrad,iglrtex,iglfxex,igledex,iglcmex,IGLCREX
"27910","529","615879","0","Central Savings, f.s.b.","Chicago","IL","60657","6/30/2019","11/18/2019","SA","1601 West Belmont Avenue","","3","0","0","4","0","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","1/1/1893","1/26/1938","12/31/2017","Non-Stock","0","0","OCC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","","","","","","",""
"72","9282","353238","1084593","Central State Bank","Calera","AL","35040","6/30/2019","11/18/2019","SM","11025 Hwy 25","CENTRAL STATE BANCORPORATION","5","0","0","4","1","Shelby","13820","Birmingham-Hoover, AL","2/5/1916","1/1/1934","2/24/2011","Stock","0","0","FED","DIF","Atlanta","ATLANTA","Shelby","Atlanta","Southern","Southeast","0","1","","","","","","",""
"10903","0","607146","1203769","Central State Bank","State Center","IA","50247","6/30/2019","11/18/2019","NM","109 West Main Street","STATE CENTER FINANCIAL, INC.","2","0","0","4","1","Marshall","","","1/1/1902","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Des Moines","Chicago","Western","Western","0","1","","","","","","",""
"1550","0","678744","2253734","Central State Bank","Elkader","IA","52043","6/30/2019","11/18/2019","SM","102 North Main Street","AJJ BANCORP, INC.","9","0","0","4","1","Clayton","","","11/12/1931","1/1/1934","1/1/2019","Stock","0","1","FED","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","0","1","www.centralstate.bank","0","","","","",""
"8487","0","152440","1095861","Central State Bank","Clayton","IL","62324","6/30/2019","11/18/2019","NM","100 West Main Street","CLAYTON BANCSHARES, INC.","4","0","0","2","1","Adams","","","5/1/1928","1/1/1934","4/20/2017","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Springfield Il","St. louis","Central","Central","0","1","","","","","","",""
"23030","0","703767","2935405","Central Valley Community Bank","Fresno","CA","93720","6/30/2019","11/18/2019","NM","7100 N Financial Drive, Suit","CENTRAL VALLEY COMMUNITY BANCORP","23","0","0","4","0","Fresno","23420","Fresno, CA","1/10/1980","1/10/1980","10/1/2017","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Sacramento","San Francisco","Western","Western","0","0","www.cvcb.com","0","","","","",""
"15532","10392","163343","1416989","CentreBank","Veedersburg","IN","47987","6/30/2019","11/18/2019","NM","126-128 North Main Street","LAWRENCE L. OSBORN SCHOLARSHIP TRUST","5","0","0","4","0","Fountain","","","10/13/1917","8/7/1937","3/31/2006","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Indianapolis","Chicago","Central","Central","0","1","","","","","","",""
"17764","0","876700","0","Centreville Bank","West Warwick","RI","2893","6/30/2019","11/18/2019","SB","1218 Main Street","","7","0","0","5","0","Kent","39300","Providence-Warwick, RI-MA","1/1/1888","5/24/1957","1/20/2016","Non-Stock","0","0","FDIC","DIF","New York","NEW YORK","South Boston","Boston","Northeastern","Northeast","0","1","http://www.centrevillebank.com","0","","","","",""
"7461","13498","411512","1144086","Centric Bank","Harrisburg","PA","17112","6/30/2019","11/18/2019","NM","4320 Linglestown Rd","CENTRIC FINANCIAL CORPORATION","6","0","0","4","0","Dauphin","25420","Harrisburg-Carlisle, PA","11/1/1919","1/1/1934","3/4/2009","Stock","0","0","FDIC","DIF","New York","NEW YORK","Harrisburg","Philadelphia","Northeastern","Northeast","0","1","www.CentricBank.com","0","","","","",""
"58158","0","3377235","4087894","CenTrust Bank, National Association","Northbrook","IL","60062","6/30/2019","11/18/2019","N","385 Waukegan Road","UNITED COMMUNITY BANCSHARES, INC.","1","0","0","4","0","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","4/14/2006","4/14/2006","3/1/2010","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","","","","","","",""
