cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,scage,idscas,scaot,scspn,scfmn,scgnm,sccol,SCCPTG,SCCMOG
"6813","0","188720","0","The Farmers Bank of Appomattox","Appomattox","VA","24522","6/30/2019","11/18/2019","SM","223 Main Street","","5","0","0","8","0","Appomattox","31340","Lynchburg, VA","9/16/1918","1/1/1934","1/15/2010","Stock","0","0","FED","DIF","Atlanta","ATLANTA","Richmond","Richmond","Northeastern","Southeast","0","1","","14302","12979","","","1323","","0","0","0"
"12163","12081","265340","3017700","The Farmers Bank of Milton","Milton","KY","40045","6/30/2019","11/18/2019","NM","41 Ferry Street","FARMERS FINANCIAL CORPORATION","5","0","1","8","0","Trimble","","","1/1/1902","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Elizabethtown","St. louis","Central","Southeast","0","1","","31514","8311","","","5983","","4833","12387","0"
"11319","9391","830645","0","The Farmers Bank of Mt. Pulaski","Mount Pulaski","IL","62548","6/30/2019","11/18/2019","NM","130 South Washington Street","","2","0","0","7","0","Logan","","","1/1/1872","1/1/1934","3/21/2014","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","0","1","http://www.farm-bank.com","14384","14349","","","30","0","0","5","0"
"5885","0","105026","0","The Farmers Bank of Willards","Willards","MD","21874","6/30/2019","11/18/2019","NM","7484 Market Street","","9","0","1","4","0","Wicomico","41540","Salisbury, MD-DE","1/3/1925","1/1/1934","7/17/2012","Stock","0","0","FDIC","DIF","New York","NEW YORK","Baltimore","Richmond","Northeastern","Southeast","0","1","","9238","4355","","","693","","3489","236","465"
"12828","8909","423449","1209538","The Farmers Bank, Frankfort, Indiana","Frankfort","IN","46041","6/30/2019","11/18/2019","NM","9 East Clinton Street","FARMERS BANCORP FRANKFORT INDIANA, THE","10","0","0","4","0","Clinton","","","1/1/1876","1/1/1934","4/22/2016","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Indianapolis","Chicago","Central","Central","0","1","","86148","8454","","","23500","","41358","12836","0"
"3732","12238","933041","2198563","The Farmers National Bank","Prophetstown","IL","61277","6/30/2019","11/18/2019","N","114 West Third Street","PROPHETSTOWN BANKING CO.","3","0","0","2","0","Whiteside","","","7/1/1902","1/1/1934","8/5/2014","Stock","0","1","OCC","DIF","Chicago","CHICAGO","Princeton","Chicago","Central","Central","0","1","www.farmersnationalbank.bank","29928","5240","","","3079","189","21420","0","0"
"6540","13123","680813","1071191","The Farmers National Bank of Canfield","Canfield","OH","44406","6/30/2019","11/18/2019","N","20 South Broad Street","FARMERS NATIONAL BANC CORP.","39","0","1","4","0","Mahoning","49660","Youngstown-Warren-Boardman, OH-PA","2/17/1887","1/1/1934","8/16/2017","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","0","http://www.farmersbankgroup.com","188121","13729","","","151650","2094","13250","0","7398"
"2740","11804","785147","1119244","The Farmers National Bank of Danville","Danville","KY","40422","6/30/2019","11/18/2019","N","304 West Main Street","BOYLE BANCORP, INC.","14","0","0","4","0","Boyle","","","2/10/1879","1/1/1934","3/31/2006","Stock","0","1","OCC","DIF","Chicago","CHICAGO","Lexington","St. louis","Central","Southeast","0","1","","47895","2686","","","15649","","20502","4852","4206"
"7875","11211","119528","1480944","The Farmers National Bank of Emlenton","Emlenton","PA","16373","6/30/2019","11/18/2019","N","612 Main Street","EMCLAIRE FINANCIAL CORP","20","0","1","4","0","Venango","","","1/1/1900","1/1/1934","10/1/2018","Stock","0","0","OCC","DIF","New York","NEW YORK","Wexford","Cleveland","Northeastern","Northeast","0","1","","75852","12104","","","41041","","22707","0","0"
"2754","13581","575348","1098451","The Farmers National Bank of Lebanon","Lebanon","KY","40033","6/30/2019","11/18/2019","N","136 West Main Street","LEBANON BANCSHARES, INC.","2","0","0","4","0","Marion","","","4/1/1890","1/1/1934","3/31/2006","Stock","0","1","OCC","DIF","Chicago","CHICAGO","Elizabethtown","St. louis","Central","Southeast","0","1","","25349","8995","","","6269","","5354","1302","3429"
"2769","11192","183846","1248144","The Farmers National Bank of Scottsville","Scottsville","KY","42164","6/30/2019","11/18/2019","N","1595 Veterans Memorial Hwy","FNB FINANCIAL CORP.","5","0","0","4","0","Allen","14540","Bowling Green, KY","11/3/1923","1/1/1934","7/25/2011","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Hopkinsville","St. louis","Central","Southeast","0","1","","8923","8923","","","0","","0","0","0"
