cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,eqcprev,eqcrest,netinc,eqcstkrx,eqctrstx,eqcmrg,eqcdivp,eqcdivc,eqccompi,eqcbhctr,eq
"4217","0","412452","0","COMMUNITY BANK OF OKLAHOMA","Verden","OK","73092","6/30/2019","11/18/2019","NM","101 West Highway 62","","3","0","0","4","1","Grady","36420","Oklahoma City, OK","8/1/1907","1/1/1934","5/18/2015","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","1","","5564","0","363","0","0","0","0","284","192","0","5835"
"19681","9628","901134","1479144","Community Bank of Parkersburg","Parkersburg","WV","26101","6/30/2019","11/18/2019","NM","631 Juliana Street","COMMUNITY BANKSHARES, INC.","4","0","0","5","1","Wood","37620","Parkersburg-Vienna, WV","3/1/1967","3/1/1967","3/31/2006","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Scott Depot","Richmond","Northeastern","Northeast","0","1","","26515","0","1532","0","0","0","0","1455","754","0","27346"
"35513","0","2943615","3180408","Community Bank of Pickens County","Jasper","GA","30143","6/30/2019","11/18/2019","NM","15 Sammy Mcghee Blvd","COMMUNITY BANKS OF GEORGIA, INC.","2","0","0","4","0","Pickens","12060","Atlanta-Sandy Springs-Roswell, GA","10/2/2000","10/2/2000","6/1/2010","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Atlanta","Atlanta","Southern","Southeast","0","1","","37986","0","2824","0","0","0","0","0","335","0","41145"
"58423","0","3448425","1974630","Community Bank of Pleasant Hill","Pleasant Hill","MO","64080","6/30/2019","11/18/2019","NM","2401 North Highway 7","LOLYN FINANCIAL CORPORATION","1","0","0","4","0","Cass","28140","Kansas City, MO-KS","12/4/2006","12/4/2006","5/21/2014","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","0","1","","6980","0","381","0","0","0","0","0","384","0","7745"
"22867","0","716851","1974630","Community Bank of Raymore","Raymore","MO","64083","6/30/2019","11/18/2019","NM","801 West Foxwood Drive","LOLYN FINANCIAL CORPORATION","3","0","0","4","1","Cass","28140","Kansas City, MO-KS","5/15/1979","5/15/1979","6/30/2016","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","0","1","","18194","0","4132","0","0","0","0","1500","2055","0","22881"
"57073","0","2997216","5113857","Community Bank of Santa Maria","Santa Maria","CA","93455","6/30/2019","11/18/2019","NM","2739 Santa Maria Way","COMMUNITY BANCORP OF SANTA MARIA","2","0","0","4","0","Santa Barbara","42200","Santa Maria-Santa Barbara, CA","3/1/2001","3/1/2001","3/19/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Los Angeles (West)","San Francisco","Western","Western","0","1","","26380","0","1346","55","0","0","0","550","826","0","28057"
"14776","0","257466","0","COMMUNITY BANK OF SNYDER","Snyder","TX","79549","6/30/2019","11/18/2019","NM","1715 25th Street","","1","0","0","2","0","Scurry","","","5/13/1905","9/27/1934","11/5/2008","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Lubbock","Dallas","Southern","West","0","1","","11898","0","412","0","0","0","0","0","420","0","12730"
"34210","0","2483438","0","Community Bank of the Bay","Oakland","CA","94612","6/30/2019","11/18/2019","NM","180 Grand Ave., Suite 1550","","3","0","0","4","0","Alameda","41860","San Francisco-Oakland-Hayward, CA","7/22/1996","7/22/1996","3/2/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","San Francisco","San Francisco","Western","Western","0","1","www.bankcbb.com","47676","0","1712","3742","0","0","0","0","286","0","53415"
"30903","6091","697978","2523389","Community Bank of the Chesapeake","Waldorf","MD","20601","6/30/2019","11/18/2019","NM","3035 Leonardtown Road","COMMUNITY FINANCIAL CORPORATION, THE","12","0","1","4","0","Charles","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","1/1/1950","10/23/1957","1/1/2018","Stock","0","0","FDIC","DIF","New York","NEW YORK","Baltimore","Richmond","Northeastern","Southeast","0","1","cbtc.com","185073","0","9277","-5","0","0","0","1500","2891","0","195736"
"4646","0","725853","1053384","Community Bank of the Midwest","Great Bend","KS","67530","6/30/2019","11/18/2019","NM","2220 Broadway","MIDWEST COMMUNITY BANCSHARES, INC.","5","0","0","2","1","Barton","","","10/20/1920","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Hays","Kansas City","Western","Western","0","1","","17247","0","1506","0","0","0","0","655","144","0","18242"
